site,sp,dbh
1,Cryosophila warscewiczii,6.2
1,Rauvolfia purpurascens,17.9
1,Welfia regia,18.3
1,Iriartea deltoidea,19.2
1,Protium panamense,35.7
1,Rauvolfia purpurascens,38.9
1,Faramea parvibractea,11.9
1,Cryosophila warscewiczii,6.9
1,Capparis pittieri,8.2
1,Prestoea decurrens,5.8
1,Dystovomita paniculata,10
1,Hernandia didymantha,13.3
1,Garcinia intermedia,6.2
1,Symphonia globulifera,7.2
1,Iriartea deltoidea,18.7
1,Quararibea bracteolosa,13.4
1,Guarea guidonia,11.4
1,Pouteria glomerata,7.9
1,Cassipourea elliptica,13.8
1,Welfia regia,18.4
1,Iriartea deltoidea,20.1
1,Pentaclethra macroloba,30
1,Cryosophila warscewiczii,6.1
1,Prestoea decurrens,6.3
1,Maquira costaricana,6.2
1,Naucleopsis naga,9.5
1,Pentaclethra macroloba,95.8
1,Hirtella lemsii,7.8
1,Aspidosperma spruceanum,20.7
1,Welfia regia,13
1,Symphonia globulifera,7.4
1,Quararibea bracteolosa,11.2
1,Protium pittieri,19.2
1,Welfia regia,14.4
1,Marila laxiflora,21
1,Virola sebifera,5.7
1,Symphonia globulifera,5.4
1,Ampelocera macrocarpa,5.2
1,Anaxagorea crassipetala,6.3
1,Psychotria panamensis,5.7
1,Anaxagorea crassipetala,5.9
1,Laetia procera,5.5
1,Psychotria elata,5.9
1,Simarouba amara,6.2
1,Psychotria elata,7.8
1,Anaxagorea crassipetala,6.3
1,Socratea exorrhiza,9
1,Psychotria elata,5.5
1,Minquartia guianensis,6
1,Faramea parvibractea,5.7
1,Dendropanax arboreus,8.8
1,Socratea exorrhiza,10.3
1,Iriartea deltoidea,9.7
1,Pentaclethra macroloba,7.3
1,Prestoea decurrens,5.7
1,Iriartea deltoidea,7
1,Prestoea decurrens,5.6
1,Henriettea tuberculosa,5.5
1,Hippotis albiflora,5.8
1,Iriartea deltoidea,9.7
1,Psychotria elata,5.6
1,Psychotria elata,6.2
1,Casearia arborea,8.2
1,Posoqueria 'redonda',5.7
1,Lozania pittieri,6
1,Prestoea decurrens,6.6
1,Rudgea cornifolia,5.1
1,Psychotria luxurians,5.9
1,Prestoea decurrens,5.9
1,Stryphnodendron microstachyum,7.1
1,Psychotria elata,5.3
1,Miconia smaragdina,6.3
1,Otoba novogranatensis,5.9
1,Protium pittieri,16.3
1,Hernandia didymantha,5.9
1,Trichilia septentrionalis,6.2
1,Ampelocera macrocarpa,5.6
1,Coussarea hondensis,6.3
1,Lonchocarpus oliganthus,6
1,Lonchocarpus oliganthus,5.7
1,Ficus tonduzii,7.1
1,Psychotria elata,6.3
1,Miconia smaragdina,5.6
1,Chrysochlamys nicaraguensis,5.3
1,Iriartea deltoidea,8.9
1,Inga sapindoides ,5.1
1,Minquartia guianensis,6.8
1,Dendropanax arboreus,8.2
1,Psychotria panamensis,7.4
1,Coussarea hondensis,7.6
1,Psychotria panamensis,9.1
1,Henriettea tuberculosa,6.3
1,Apeiba membranacea,6.3
1,Iriartea deltoidea,15
1,Henriettea tuberculosa,7.5
1,Pourouma minor,6.8
1,Minquartia guianensis,7.5
1,Miconia commutata,6
1,Iriartea deltoidea,10.6
1,Psychotria elata,6
1,Guatteria diospyroides,6.2
1,Iriartea deltoidea,12.6
