plot,sp,dbh
BSP104,Mangifera indica,3.819718634
BSP104,Mangifera indica,4.13802852
BSP104,Mangifera indica,6.366197724
BSP104,Mangifera indica,6.366197724
BSP104,Mangifera indica,8.276057041
BSP104,Mangifera indica,9.867606472
BSP104,Mangifera indica,12.09577567
BSP104,Mangifera indica,14.64225476
BSP104,Mangifera indica,15.91549431
BSP104,Mangifera indica,17.18873385
BSP104,Mangifera indica,20.05352283
BSP104,Mangifera indica,20.37183272
BSP104,Mangifera indica,22.28169203
BSP104,Mangifera indica,30.23943919
BSP104,Mangifera indica,32.46760839
BSP104,Mangifera indica,55.70423008
BSP104,Mangifera indica,63.66197724
BSP104,Mastixia arborea,22.91831181
BSP104,Mastixia arborea,25.46479089
BSP104,Mastixia arborea,36.9239468
BSP104,Meiogyne pannosa,4.13802852
BSP104,Meiogyne pannosa,6.366197724
BSP104,Memecylon wightii,3.501408748
BSP104,Memecylon wightii,3.819718634
BSP104,Memecylon wightii,3.819718634
BSP104,Memecylon wightii,3.819718634
BSP104,Memecylon wightii,3.819718634
BSP104,Memecylon wightii,3.819718634
BSP104,Memecylon wightii,3.819718634
BSP104,Memecylon wightii,4.456338407
BSP104,Memecylon wightii,4.774648293
BSP104,Memecylon wightii,5.092958179
BSP104,Memecylon wightii,6.366197724
BSP104,Memecylon wightii,6.366197724
BSP104,Memecylon wightii,6.366197724
BSP104,Memecylon wightii,7.002817496
BSP104,Memecylon wightii,7.321127382
BSP104,Memecylon wightii,7.321127382
BSP104,Memecylon wightii,10.18591636
BSP104,Mesua ferrea,3.819718634
BSP104,Mesua ferrea,3.819718634
BSP104,Mesua ferrea,7.002817496
BSP104,Mesua ferrea,18.4619734
BSP104,Mesua ferrea,25.78310078
BSP104,Meyna laxiflora,22.28169203
BSP104,Meyna laxiflora,22.28169203
BSP104,Mimusops elengi,3.501408748
BSP104,Mimusops elengi,3.501408748
BSP104,Mimusops elengi,3.501408748
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,3.819718634
BSP104,Mimusops elengi,4.13802852
BSP104,Mimusops elengi,4.774648293
BSP104,Mimusops elengi,4.774648293
BSP104,Mimusops elengi,5.092958179
BSP104,Mimusops elengi,5.411268065
BSP104,Mimusops elengi,5.411268065
BSP104,Mimusops elengi,5.729577951
BSP104,Mimusops elengi,6.366197724
BSP104,Mimusops elengi,6.366197724
BSP104,Mimusops elengi,6.366197724
BSP104,Mimusops elengi,6.366197724
BSP104,Mimusops elengi,6.68450761
BSP104,Mimusops elengi,6.68450761
BSP104,Mimusops elengi,7.002817496
BSP104,Mimusops elengi,7.002817496
BSP104,Mimusops elengi,7.321127382
BSP104,Mimusops elengi,7.321127382
BSP104,Mimusops elengi,7.639437268
BSP104,Mimusops elengi,7.639437268
BSP104,Mimusops elengi,7.639437268
BSP104,Mimusops elengi,8.594366927
